ID,name,LABEL
ACT001,退耕还林还草提质增效,ACT
ACT002,矿藏开采、工程建设征收、征用或者使用七十公顷以上草原审核,ACT
ACT003,网上审批,ACT
ACT004,委托工作的监督检查,ACT
ACT005,国家储备林建设,ACT
ACT006,集约人工林栽培,ACT
ACT007,国家储备林建设任务,ACT
ACT008,国家储备林现有林改培,ACT
ACT009,林冠下造林,ACT
ACT010,国家储备林中幼林抚育,ACT
ACT011,国家储备林年度建设情况,ACT
ACT012,国家储备林统计分析和评估结果,ACT
ACT013,中央预算内投资安排,ACT
ACT014,人工繁育,ACT
ACT015,退耕还林还草提质增效工作,ACT
ACT016,退耕还林还草成果,ACT
ACT017,乡村振兴,ACT
ACT018,退耕还林还草实施情况,ACT
ACT019,退耕还林还草任务,ACT
ACT020,2023年11月8日,ACT
ACT021,设施审批,ACT
ACT022,监督检查,ACT
ACT023,委托工作,ACT
ACT024,2023年9月1日,ACT
ACT025,意见反馈,ACT
ACT026,临时使用林地审批,ACT
ACT027,收费,ACT
ACT028,油茶生产任务,ACT
ACT029,建设任务,ACT
ACT030,国家重点保护野生植物采集管理,ACT
ACT031,采集国家重点保护野生植物,ACT
ACT032,人工培育,ACT
ACT033,科学研究、文化交流,ACT
ACT034,重大工程建设,ACT
ACT035,情况说明及采集作业办法和采集后的处置方案,ACT
ACT036,商业性贸易,ACT
ACT037,编制全国湿地保护规划,ACT
ACT038,2022年6月1日,ACT
ACT039,监测评估,ACT
ACT040,科学研究,ACT
ACT041,2022年1月25日,ACT
ACT042,湿地修复,ACT
ACT043,抚育采伐,ACT
ACT044,生态修复,ACT
ACT045,2021年3月26日,ACT
ACT046,2021年3月31日,ACT
ACT047,2021年6月30日,ACT
ACT048,2022年1月1日,ACT
ACT049,矿藏勘查、开采以及其他各类工程建设占用林地,ACT
ACT050,矿藏开采、工程建设征收、征用或者使用草原,ACT
ACT051,草原禁牧休牧工作,ACT
ACT052,草原生态保护,ACT
ACT053,草原征占用的审核审批工作,ACT
ACT054,矿藏开采、工程建设,ACT
ACT055,审核,ACT
ACT056,临时占用草原的审批,ACT
ACT057,草原征占用申请,ACT
ACT058,审核或者审批工作,ACT
ACT059,现场查验工作,ACT
ACT060,科研教学、文化交流、公共展示、执法司法,ACT
ACT061,相关行政许可事项,ACT
ACT062,禁食野生动物后续工作,ACT
ACT063,补偿工作,ACT
ACT064,补偿,ACT
ACT065,转产、发展替代产业,ACT
ACT066,2020年3月30日,ACT
ACT067,组织指导,ACT
ACT068,政策扶持,ACT
ACT069,用地保障,ACT
ACT070,投融资渠道,ACT
ACT071,共建共享机制,ACT
ACT072,科技支撑,ACT
ACT073,人才培养,ACT
ACT074,普查,ACT
ACT075,全国绿化奖章评选工作,ACT
ACT076,管理与信息化建设,ACT
ACT077,修建铁路、公路等建设活动,ACT
ACT078,修改后,ACT
ACT079,申请,ACT
ACT080,林业调查规划设计,ACT
ACT081,规模化、集约化、商品化经营,ACT
ACT082,主动公开基本目录编制工作,ACT
ACT083,决策、执行、管理、服务、结果全过程公开,ACT
ACT084,动态更新调整,ACT
ACT085,主动公开内容的梳理工作,ACT
ACT086,督查,ACT
ACT087,审批,ACT
ACT088,行政复议或行政诉讼,ACT
ACT089,行政处罚决定,ACT
ACT090,侵权假冒行政处罚案件信息公开,ACT
ACT091,2019年5月1日,ACT
ACT092,监管职责,ACT
ACT093,组织协调工作,ACT
ACT094,项目责任制,ACT
ACT095,新闻发布会,ACT
ACT096,生态破坏事件,ACT
ACT097,保护优先、合理利用,ACT
ACT098,审查批准,ACT
ACT099,初审意见,ACT
ACT100,行政许可决定,ACT
ACT101,监督检查工作,ACT
ACT102,农业科技体制机制改革创新,ACT
ACT103,脱贫攻坚战,ACT
ACT104,农业科技成果培育与转移转化,ACT
ACT105,农业科技成果转化,ACT
ACT106,沙尘暴灾害应急处置工作,ACT
ACT107,应急处置工作方案,ACT
ACT108,沙尘暴灾害多发期,ACT
ACT109,应急值守,ACT
ACT110,监测预警工作,ACT
ACT111,信息报送,ACT
ACT112,宣传教育活动,ACT
ACT113,组织领导,ACT
ACT114,林业移动政务,ACT
ACT115,移动灾害监控与应急管理,ACT
ACT116,林业移动服务,ACT
ACT117,特此公告,ACT
ACT118,20170111,ACT
ACT119,家庭承包经营,ACT
ACT120,公司+合作社+农户+基地,ACT
ACT121,林业社会化服务,ACT
ACT122,林业科技下乡服务活动,ACT
ACT123,地方财政资金或贷款方式,ACT
ACT124,保护工程项目,ACT
ACT125,其他工程建设项目,ACT
ACT126,专项行动,ACT
ACT127,乱捕滥猎珍稀濒危野生动物专项行动,ACT
ACT128,涉林违法犯罪行为,ACT
ACT129,所列野生动物基准价值的十倍,ACT
ACT130,所列野生动物基准价值的五倍,ACT
ACT131,该种野生动物整体价值的千分之一,ACT
ACT132,该种野生动物整体价值的十分之一,ACT
ACT133,该种野生动物整体价值的二分之一,ACT
ACT134,同种野生动物及其制品价值的百分之五十,ACT
ACT135,成果填报,ACT
ACT136,成果入库网上填报通知,ACT
ACT137,成果的填报、审核和提交工作,ACT
ACT138,成果所属单位或者个人（组织机构/人名）、尾实体：网上注册,ACT
ACT139,网上评审,ACT
ACT140,动态管理,ACT
ACT141,开放式管理,ACT
ACT142,成果库建设和管理工作,ACT
ACT143,林业有害生物防治工作,ACT
ACT144,“四率”指标任务,ACT
ACT145,国有林区改革,ACT
ACT146,国有林场改革,ACT
ACT147,生态文明体制改革,ACT
ACT148,森林资源管理,ACT
ACT149,森林防火,ACT
ACT150,有害生物防治,ACT
ACT151,野生动物疫源疫病监测防控,ACT
ACT152,林业科技创新,ACT
ACT153,林业科技推广,ACT
ACT154,依法治林,ACT
ACT155,行政审批行为,ACT
ACT156,林业宣传工作,ACT
ACT157,对外开放合作,ACT
ACT158,机构队伍建设,ACT
ACT159,人工造林,ACT
ACT160,集体林地承包经营纠纷调处考评工作,ACT
ACT161,考评工作,ACT
ACT162,样板基地建设,ACT
ACT163,保存、利用和评价策略,ACT
ACT164,油茶嫁接育苗,ACT
ACT165,生产管理,ACT
ACT166,国土绿化,ACT
ACT167,森林公园建设发展,ACT
ACT168,森林公园立法,ACT
ACT169,省、市、县级森林公园行政审批,ACT
ACT170,采伐限额执行情况,ACT
ACT171,采伐限额的执行情况,ACT
ACT172,水源涵养,ACT
ACT173,水土流失,ACT
ACT174,科技创新,ACT
ACT175,水源涵养、水土保持,ACT
ACT176,多方参与,ACT
ACT177,全国营造林综合核查,ACT
ACT178,营造林实绩,ACT
ACT179,抽查,ACT
ACT180,人工造林（更新）,ACT
ACT181,封山育林,ACT
ACT182,地方一般造林,ACT
ACT183,全国营造林,ACT
ACT184,混交林造林,ACT
ACT185,营造林,ACT
ACT186,设计,ACT
ACT187,不实事求是设计,ACT
ACT188,封育任务,ACT
ACT189,放牧问题,ACT
ACT190,综合核查,ACT
ACT191,强降雨和汛期防灾减灾工作,ACT
ACT192,7月中旬部分地区降雨,ACT
ACT193,应急值班制度,ACT
ACT194,防范措施,ACT
ACT195,生产自救,ACT
ACT196,秋季候鸟等野生动物保护执法和疫源疫病监测防控工作,ACT
ACT197,野生动物保护,ACT
ACT198,野生动物保护执法,ACT
ACT199,林业法治宣传教育,ACT
ACT200,林业系统普法日常工作,ACT
ACT201,法治宣传教育,ACT
ACT202,林业法治理论研究,ACT
ACT203,林木种苗工作,ACT
ACT204,保护,ACT
ACT205,审定,ACT
ACT206,监督管理,ACT
ACT207,林业重大政策咨询、项目论证、规划及标准制定,ACT
ACT208,示范带动作用,ACT
ACT209,野生动物保护工作,ACT
ACT210,野生动物非法交易链,ACT
ACT211,林木采伐,ACT
ACT212,飞播造林,ACT
ACT213,行政审批,ACT
ACT214,低产林改造,ACT
ACT215,改造,ACT
ACT216,封育改造和补植改造,ACT
ACT217,中幼林抚育采伐,ACT
ACT218,天然林保护,ACT
ACT219,违法违规行为,ACT
ACT220,营造林工程监理员,ACT
ACT221,林木种子苗木免税进口执行情况,ACT
ACT222,免税进口林木种子苗木计划,ACT
ACT223,林木种子苗木进口后用途及流向监管,ACT
ACT224,抽查报告,ACT
ACT225,政府购买服务工作,ACT
ACT226,服务事项,ACT
ACT227,防护林体系建设,ACT
ACT228,退化防护林改造,ACT
ACT229,殡葬改革,ACT
ACT230,文明治丧,ACT
ACT231,生态安葬,ACT
ACT232,森林防火和林地保护工作,ACT
ACT233,公墓造林绿化,ACT
ACT234,林业行政审批制度改革,ACT
ACT235,林木种苗质量管理,ACT
ACT236,造林绿化,ACT
ACT237,林木种苗市场化,ACT
ACT238,无证生产经营,ACT
ACT239,林木种苗标签管理,ACT
ACT240,林木种苗广告管理,ACT
ACT241,林木种苗生产过程质量管理,ACT
ACT242,林木种苗质量监督抽查工作,ACT
ACT243,林木种苗使用环节管理,ACT
ACT244,林木种苗质量监督管理体系,ACT
ACT245,林木种苗标准体系建设,ACT
ACT246,侵权假冒行政处罚案件信息公开工作,ACT
ACT247,春季沙尘暴趋势会商,ACT
ACT248,沙尘暴灾害应急工作方案,ACT
ACT249,沙尘暴应急处置工作,ACT
ACT250,沙尘暴灾害信息日报和零报告制度,ACT
ACT251,春季沙尘暴灾害应急处置工作安排,ACT
ACT252,沙区开发建设项目环评中防沙治沙内容评价工作,ACT
ACT253,开发建设项目,ACT
ACT254,沙区开发建设项目,ACT
ACT255,环境影响评价,ACT
ACT256,防沙治沙,ACT
ACT257,建设活动,ACT
ACT258,2014年1月1日,ACT
ACT259,20131017,ACT
ACT260,科普宣传教育,ACT
ACT261,本行政区域内陆生野生动物疫源疫病监测防控的组织实施、监督和管理工作,ACT
ACT262,全国陆生野生动物疫源疫病监测工作,ACT
ACT263,陆生野生动物疫源疫病监测防控工作,ACT
ACT264,陆生野生动物疫源疫病调查,ACT
ACT265,陆生野生动物疫情预测预报、趋势分析等活动,ACT
ACT266,陆生野生动物疫源疫病监测,ACT
ACT267,日常监测,ACT
ACT268,专项监测,ACT
ACT269,陆生野生动物疫病监测防控和疫病风险评估,ACT
ACT270,陆生野生动物疫源疫病科学研究,ACT
ACT271,陆生野生动物疫源疫病监测防控的宣传教育,ACT
ACT272,热压、粉碎,ACT
ACT273,验收结果,ACT
ACT274,森林抚育,ACT
ACT275,采集作业办法,ACT
ACT276,移植方案,ACT
ACT277,采集活动,ACT
ACT278,停止使用,ACT
ACT279,档案管理制度,ACT
ACT280,县级检查,ACT
ACT281,省级验收,ACT
ACT282,国家级核查,ACT
ACT283,绩效考评,ACT
ACT284,验收申请,ACT
ACT285,森林管护工作,ACT
ACT286,天保工程森林管护工作,ACT
ACT287,专业管护,ACT
ACT288,培育,ACT
ACT289,无患子能源林培育活动,ACT
ACT290,植苗造林,ACT
ACT291,容器育苗技术,ACT
ACT292,无患子育苗,ACT
ACT293,实生育苗,ACT
ACT294,混交和间作,ACT
ACT295,巡护,ACT
ACT296,看守,ACT
ACT297,野生动植物保护监督检查职能,ACT
ACT298,猎捕,ACT
ACT299,野生动物经营利用活动,ACT
ACT300,执法,ACT
ACT301,保护宣传教育,ACT
ACT302,森林生态旅游,ACT
ACT303,国家标准制修订任务,ACT
ACT304,林木种子质量抽查情况,ACT
ACT305,林木种子质量检查和检测项目,ACT
ACT306,林木种子质量检查或检测项目,ACT
ACT307,实生苗比例,ACT
ACT308,林木种子质量监管,ACT
ACT309,林木种苗生产、经营各个环节,ACT
ACT310,生产技能和操作水平,ACT
ACT311,转变,ACT
ACT312,林改监测,ACT
ACT313,森林经营,ACT
ACT314,森林资源保护,ACT
ACT315,湿地资源保护,ACT
ACT316,荒漠资源保护,ACT
ACT317,生物多样性保护,ACT
ACT318,林业有害生物防治,ACT
ACT319,沙尘暴预测预警,ACT
ACT320,林区治安防范,ACT
ACT321,立体开发,ACT
ACT322,林业宣传,ACT
ACT323,关注森林系列活动,ACT
ACT324,野生动物疫源疫病监测防控工作,ACT
ACT325,严格保护、积极发展、科学经营、持续利用,ACT
ACT326,专家委全体会议,ACT
ACT327,石油天然气管道建设,ACT
ACT328,石油天然气管道工程,ACT
ACT329,实验用猴养殖利用活动,ACT
ACT330,执法行动,ACT
ACT331,森林采伐管理改革试点工作,ACT
ACT332,森林采伐指标审批,ACT
ACT333,森林采伐管理改革试点,ACT
ACT334,采伐管理改革,ACT
ACT335,试点工作,ACT
ACT336,成效评估,ACT
ACT337,技术咨询和服务,ACT
ACT338,项目经费支出,ACT
ACT339,项目总结验收,ACT
ACT340,绩效评估,ACT
ACT341,项目实施与管理监测,ACT
ACT342,今冬明春野生动物疫源疫病监测防控工作,ACT
ACT343,野生动物疫源疫病监测防控管理培训班,ACT
ACT344,野生动物集中活动,ACT
ACT345,疫病（情）防控工作,ACT
ACT346,森林火灾,ACT
ACT347,森林火灾发生次数,ACT
ACT348,演练,ACT
ACT349,森林防火工作,ACT
ACT350,森林防火宣传教育,ACT
ACT351,导游讲解,ACT
ACT352,林火监测,ACT
ACT353,火源管理,ACT
ACT354,林业法制宣传教育工作,ACT
ACT355,法制宣传教育,ACT
ACT356,“法律六进”,ACT
ACT357,机关学习,ACT
ACT358,“12·4”全国法制宣传日,ACT
ACT359,普法领导小组会,ACT
ACT360,森林可持续经营,ACT
ACT361,社会主义新农村建设,ACT
ACT362,民主管理,ACT
ACT363,变更登记,ACT
ACT364,专项工作,ACT
ACT365,行政执法,ACT
ACT366,违法行为,ACT
ACT367,非法占用林地行为,ACT
ACT368,公益林建设,ACT
ACT369,跟踪检查,ACT
ACT370,商业性开发,ACT
ACT371,森林凋落物及森林腐殖质的商业开发,ACT
ACT372,森林经营单位和个人（组织机构/人名）、尾实体：采挖销售,ACT
ACT373,专项清理,ACT
ACT374,清理情况,ACT
ACT375,违规进行开发利用,ACT
ACT376,2009年1月1日,ACT
ACT377,自然保护区灾后恢复重建,ACT
ACT378,专项调研活动,ACT
ACT379,清理,ACT
ACT380,县级受灾林木清理工作,ACT
ACT381,清理调查和审批,ACT
ACT382,一般程序,ACT
ACT383,清理作业管理,ACT
ACT384,检查验收,ACT
ACT385,清理技术要点,ACT
ACT386,工作总结,ACT
ACT387,2008年造林绿化工作,ACT
ACT388,造林绿化任务,ACT
ACT389,春季造林和雨季造林,ACT
ACT390,森林经营工作,ACT
