ID,name,LABEL
CLS001,国际重要湿地数量,CLS
CLS002,植物新品种权,CLS
CLS003,有重要生态、科学、社会价值的陆生野生动物,CLS
CLS004,质量效益,CLS
CLS005,2023年第二批授予植物新品种权名单,CLS
CLS006,这些品种,CLS
CLS007,林木良种,CLS
CLS008,国家重点保护或国际公约限制贸易的陆生野生动物或其制品,CLS
CLS009,国家重点保护或国际公约限制贸易的水生野生动物或其制品,CLS
CLS010,草品种名录,CLS
CLS011,326项,CLS
CLS012,2023—2025年,CLS
CLS013,国家一级保护野生植物和国家二级保护野生植物,CLS
CLS014,国家一级重点保护野生植物,CLS
CLS015,国家二级保护野生植物,CLS
CLS016,21个品种,CLS
CLS017,4个品种,CLS
CLS018,林湿发,CLS
CLS019,征求意见稿,CLS
CLS020,合法权益主体,CLS
CLS021,国家重大项目,CLS
CLS022,军事国防项目,CLS
CLS023,交通、水利项目,CLS
CLS024,2021年第13号,CLS
CLS025,通知公告,CLS
CLS026,2021年第19号,CLS
CLS027,草品种,CLS
CLS028,重大工程,CLS
CLS029,5项任务,CLS
CLS030,湘杉43,CLS
CLS031,野生植物,CLS
CLS032,第一批,CLS
CLS033,漆树属,CLS
CLS034,黄檀属,CLS
CLS035,猕猴桃属,CLS
CLS036,芦竹属,CLS
CLS037,黄耆属,CLS
CLS038,木蓝属,CLS
CLS039,独蒜兰属,CLS
CLS040,虎耳草属,CLS
CLS041,建档立卡贫困户,CLS
CLS042,合法养殖企业或养殖户,CLS
CLS043,养殖户,CLS
CLS044,油茶、仁用杏、榛子,CLS
CLS045,木本粮油经济林,CLS
CLS046,水生动物,CLS
CLS047,24项林业行业标准,CLS
CLS048,穿山甲属所有种,CLS
CLS049,国家一级保护野生动物,CLS
CLS050,森林康养产业,CLS
CLS051,国家级和省级,CLS
CLS052,森林康养与医疗卫生,CLS
CLS053,林业行业标准,CLS
CLS054,林业有害生物,CLS
CLS055,外来林业有害生物,CLS
CLS056,林业有害生物种类,CLS
CLS057,全国绿化模范城市（区）,CLS
CLS058,全国绿化模范单位,CLS
CLS059,国家级和省级森林康养基地,CLS
CLS060,森林康养与医疗卫生、养老服务、中医药产业,CLS
CLS061,19项证明事项,CLS
CLS062,证明事项,CLS
CLS063,214,CLS
CLS064,林地经营权人,CLS
CLS065,工作事项,CLS
CLS066,工作事项、公开内容、公开时限、公开方式、责任主体,CLS
CLS067,植物新品种权权利人,CLS
CLS068,120项林业行业标准,CLS
CLS069,单位或者个人,CLS
CLS070,政府主导型,CLS
CLS071,农业高新技术产业,CLS
CLS072,农业科技园区体系,CLS
CLS073,科技型企业,CLS
CLS074,农业高新技术产业集群,CLS
CLS075,林业各业务领域,CLS
CLS076,林业移动互联网应用体系,CLS
CLS077,林业移动互联网信息安全保障体系,CLS
CLS078,生态保育区,CLS
CLS079,大熊猫,CLS
CLS080,白鱀豚,CLS
CLS081,全国集体林权制度改革先进集体,CLS
CLS082,全国集体林权制度改革先进个人,CLS
CLS083,主要林木,CLS
CLS084,示范社,CLS
CLS085,国家二级保护野生动物,CLS
CLS086,国家重点保护野生动物,CLS
CLS087,国家重要湿地、地方重要湿地和一般湿地,CLS
CLS088,“四率”指标,CLS
CLS089,7省,CLS
CLS090,增补名单,CLS
CLS091,部门规章,CLS
CLS092,采伐限额,CLS
CLS093,示范单位,CLS
CLS094,合格率,CLS
CLS095,成效率为75.5%,CLS
CLS096,比例,CLS
CLS097,规模,CLS
CLS098,林业系统,CLS
CLS099,人选,CLS
CLS100,省部级人选,CLS
CLS101,后备人才,CLS
CLS102,服务精准扶贫国家林下经济及绿色产业示范基地,CLS
CLS103,示范基地,CLS
CLS104,工业原料林,CLS
CLS105,专业技术岗位,CLS
CLS106,行政审批项目,CLS
CLS107,突发林业有害生物事件,CLS
CLS108,全国营造林合格率,CLS
CLS109,全国营造林成效面积,CLS
CLS110,重点工程,CLS
CLS111,全国营造林质量,CLS
CLS112,基础设施项目,CLS
CLS113,公共事业和民生项目,CLS
CLS114,林业建设项目,CLS
CLS115,林业建设建设项目,CLS
CLS116,专家咨询委员会委员,CLS
CLS117,林造发〔2014〕140号,CLS
CLS118,企业,CLS
CLS119,全国林业危险性有害生物,CLS
CLS120,国家珍贵树种培育示范市（地级）,CLS
CLS121,国家珍贵树种培育示范县,CLS
CLS122,六道木属,CLS
CLS123,86项林业行业标准,CLS
CLS124,第三批全国林业知识产权试点单位,CLS
CLS125,国家重点保护野生植物,CLS
CLS126,珍贵树木,CLS
CLS127,森林管护方式,CLS
CLS128,“林业生物能源示范基地”,CLS
CLS129,森林保险,CLS
CLS130,林业产业,CLS
CLS131,林下经济,CLS
CLS132,专家委委员,CLS
CLS133,专家委主任和副主任,CLS
CLS134,主任或者常务副主任,CLS
CLS135,沙区特色产业,CLS
CLS136,林农,CLS
CLS137,办信字〔2010〕187号,CLS
CLS138,可行性研究报告,CLS
CLS139,年度施工设计,CLS
CLS140,财政预算,CLS
CLS141,缓冲区和实验区,CLS
CLS142,核心区,CLS
CLS143,缓冲区,CLS
CLS144,互助性经济组织,CLS
CLS145,知名品牌,CLS
CLS146,林业领域,CLS
CLS147,森林资源保护范畴,CLS
CLS148,公益林,CLS
CLS149,商品林,CLS
CLS150,轻度,CLS
CLS151,监督检查人员,CLS
CLS152,鉴定中心,CLS
CLS153,植物检疫对象,CLS
CLS154,归档范围,CLS
CLS155,保管期限,CLS
CLS156,定期,CLS
CLS157,文书档案,CLS
CLS158,普法重点对象,CLS
CLS159,林业产业结构,CLS
CLS160,森林旅游产业,CLS
CLS161,政府采购领域,CLS
CLS162,20分,CLS
CLS163,15分,CLS
CLS164,10分,CLS
CLS165,当班用量,CLS
CLS166,公益性服务组织,CLS
CLS167,乔木、灌木、木质藤本等木本植物,CLS
CLS168,绿色、白色,CLS
CLS169,防治资金,CLS
CLS170,全国森林覆盖率,CLS
CLS171,森林蓄积量,CLS
CLS172,林业产业总产值,CLS
CLS173,一类编案单位,CLS
CLS174,优势产业,CLS
CLS175,林地保护利用规划编制试点县,CLS
CLS176,技术支持单位,CLS
CLS177,林资发2003139号,CLS
CLS178,一级标准,CLS
CLS179,社会公众,CLS
CLS180,国家林业局行政许可文书种类,CLS
CLS181,处级干部,CLS
CLS182,林业统计调查对象,CLS
CLS183,统计专业技术职务,CLS
CLS184,林业统计调查项目,CLS
CLS185,林业统计资料,CLS
CLS186,全国性的林业统计资料,CLS
CLS187,地方性的林业统计资料,CLS
CLS188,林业英雄,CLS
CLS189,林业英雄荣誉称号,CLS
CLS190,森林卫士,CLS
CLS191,林业科技工作者,CLS
CLS192,林业英雄、治沙英雄,CLS
CLS193,速丰林,CLS
CLS194,种植业,CLS
CLS195,养殖业,CLS
CLS196,精深加工业,CLS
CLS197,生态旅游业,CLS
CLS198,个人和集体,CLS
CLS199,受奖者,CLS
CLS200,六大林业重点工程,CLS
CLS201,重点公益林,CLS
CLS202,水源涵养林,CLS
CLS203,公益事业管理部门,CLS
CLS204,地类,CLS
CLS205,水源涵养林、水土保持林,CLS
CLS206,林木种苗产业,CLS
CLS207,“五项任务”,CLS
CLS208,“国家营造林质量奖”,CLS
CLS209,林木种子生产者或经营者,CLS
CLS210,林木种子生产、经营者,CLS
CLS211,外来物种,CLS
CLS212,社会组织和个人,CLS
CLS213,五项任务,CLS
CLS214,营造林质量合格单位,CLS
CLS215,全国营造林质量先进单位,CLS
CLS216,相关专业大学本科以上学历,CLS
CLS217,相关专业大专以上学历,CLS
CLS218,相关专业中专以上学历,CLS
CLS219,全国林业系统先进集体,CLS
CLS220,全国林业系统劳动模范,CLS
CLS221,全国林业系统先进工作者,CLS
CLS222,林业系统广大干部职工,CLS
CLS223,国家林业重点工程造林项目,CLS
CLS224,林木种苗质量案件,CLS
CLS225,处理费用,CLS
CLS226,一定规模,CLS
CLS227,十万元,CLS
CLS228,危险性有害生物,CLS
CLS229,松属,CLS
CLS230,云杉属,CLS
CLS231,乔木、灌木、木质藤本,CLS
CLS232,天牛科(Cerambycidae),CLS
CLS233,小蠹科(Scolytidae),CLS
CLS234,任务与资金,CLS
CLS235,一级,CLS
CLS236,驯养繁殖单位或个人,CLS
CLS237,放生单位或个人,CLS
CLS238,Populus,CLS
CLS239,杨属,CLS
CLS240,Salix,CLS
CLS241,柳属,CLS
CLS242,Eucalyptus,CLS
CLS243,桉属,CLS
CLS244,Castanea mollissima,CLS
CLS245,Juglance,CLS
CLS246,核桃属,CLS
CLS247,Zizyphus jujuba,CLS
CLS248,Diospyros kaki,CLS
CLS249,Prunus armeniaca,CLS
CLS250,Ginkgo biloba,CLS
CLS251,Vernicia,CLS
CLS252,油桐属,CLS
CLS253,Taxus,CLS
CLS254,Rhododendron,CLS
CLS255,杜鹃花属,CLS
CLS256,Prunus persica,CLS
CLS257,Lagerstroemia indica,CLS
CLS258,Prunus triloba,CLS
CLS259,Chimonanthus praecox,CLS
CLS260,Osmanthus fragrans,CLS
CLS261,GF-2000-0104,CLS
CLS262,植物新品种,CLS
CLS263,泡桐属,CLS
CLS264,木兰属,CLS
CLS265,蔷薇属,CLS
CLS266,山茶属,CLS
CLS267,第1号,CLS
CLS268,第一责任人,CLS
CLS269,森林认证市场,CLS
CLS270,人造板、木制家具、木地板、纸和纸制品企业,CLS
CLS271,安全等级,CLS
