ID,name,LABEL
CONC001,违规问题,CONC
CONC002,专项投资,CONC
CONC003,金融贷款,CONC
CONC004,国家储备林建设相关林地的使用权,CONC
CONC005,整体功能,CONC
CONC006,生态文明,CONC
CONC007,本公告规定的适宜种植范围内,CONC
CONC008,公众,CONC
CONC009,意见和建议,CONC
CONC010,用地单位或个人,CONC
CONC011,种植面积,CONC
CONC012,林地保有量,CONC
CONC013,产业规划,CONC
CONC014,美国白蛾疫区,CONC
CONC015,自然灾害,CONC
CONC016,数据积累,CONC
CONC017,自然资源,CONC
CONC018,疫区,CONC
CONC019,生态保护,CONC
CONC020,建设项目,CONC
CONC021,行政许可事项,CONC
CONC022,委托项目,CONC
CONC023,“放管服”改革要求,CONC
CONC024,林草生态产业,CONC
CONC025,自然规律、经济规律、社会规律,CONC
CONC026,技术储备充足、市场前景良好、适宜规模发展,CONC
CONC027,社会,CONC
CONC028,松材线虫病疫区,CONC
CONC029,森林康养,CONC
CONC030,绿水青山就是金山银山,CONC
CONC031,森林生态系统健康,CONC
CONC032,森林康养文化,CONC
CONC033,中医药健康养生文化,CONC
CONC034,森林康养服务水平,CONC
CONC035,种苗事业,CONC
CONC036,我国种苗事业,CONC
CONC037,市场,CONC
CONC038,资源配置,CONC
CONC039,项目异常信用记录,CONC
CONC040,绿水青山就是金山银山理念,CONC
CONC041,森林生态系统健康理念,CONC
CONC042,公布之日,CONC
CONC043,用地单位或者个人,CONC
CONC044,集体林经营权,CONC
CONC045,林权,CONC
CONC046,集体林权,CONC
CONC047,森林、林木和林地使用权,CONC
CONC048,疫情,CONC
CONC049,侵权假冒行政处罚案件,CONC
CONC050,侵权假冒行政处罚案件信息,CONC
CONC051,行政处罚决定书文号,CONC
CONC052,绿色创新、开放共享、持续高效、节俭安全,CONC
CONC053,森林旅游,CONC
CONC054,生态文化,CONC
CONC055,生态环境,CONC
CONC056,自然生态,CONC
CONC057,园区,CONC
CONC058,沙尘天气,CONC
CONC059,沙尘暴灾害,CONC
CONC060,移动互联网,CONC
CONC061,荒漠生态系统,CONC
CONC062,委员,CONC
CONC063,农村基本经营制度,CONC
CONC064,林业科技,CONC
CONC065,采伐指标,CONC
CONC066,自然保护区的基本功能,CONC
CONC067,自然生态系统和野生动植物资源,CONC
CONC068,生态文明建设,CONC
CONC069,野生动物制品的价值,CONC
CONC070,该种野生动物的整体价值,CONC
CONC071,人工繁育的野生动物及其制品的价值,CONC
CONC072,爱鸟周,CONC
CONC073,成果库,CONC
CONC074,林业科技推广成果,CONC
CONC075,成果,CONC
CONC076,重点推广林业科技成果包,CONC
CONC077,科技成果,CONC
CONC078,申请人,CONC
CONC079,林业发展战略,CONC
CONC080,森林生态安全,CONC
CONC081,林业现代化建设,CONC
CONC082,绿色产业,CONC
CONC083,林业标准和质量监管体系,CONC
CONC084,林业法律法规体系,CONC
CONC085,林业执法水平,CONC
CONC086,林业基础保障,CONC
CONC087,依法办事、客观公正、实事求是、严肃认真,CONC
CONC088,重大事件,CONC
CONC089,厄尔尼诺现象,CONC
CONC090,本地气候状况,CONC
CONC091,林业病害,CONC
CONC092,全国森林经营样板基地,CONC
CONC093,林木种质资源,CONC
CONC094,良种选育,CONC
CONC095,技术依托,CONC
CONC096,普查数据,CONC
CONC097,油茶产业发展,CONC
CONC098,林业生态建设,CONC
CONC099,问题和建议,CONC
CONC100,绿色生态廊道,CONC
CONC101,生态文明建设的先行示范带,CONC
CONC102,森林水源涵养功能,CONC
CONC103,体制,CONC
CONC104,森林可持续经营管理,CONC
CONC105,林业改革发展融资,CONC
CONC106,问题,CONC
CONC107,防灾减灾意识,CONC
CONC108,国家知识产权强国,CONC
CONC109,依法管理能力,CONC
CONC110,法治文化建设,CONC
CONC111,种子质量,CONC
CONC112,高层次人才库,CONC
CONC113,人才梯队,CONC
CONC114,先进经验和发展模式,CONC
CONC115,保护优先、规范利用、严格监管,CONC
CONC116,保护管理新机制,CONC
CONC117,野生动物保护知识,CONC
CONC118,国家储备林,CONC
CONC119,国家储备林建设目标和任务,CONC
CONC120,非法集资,CONC
CONC121,生态建设主体作用,CONC
CONC122,科技、教育、文化、卫生、体育、环境和资源保护、防灾减灾、文物保护、市政公用、乡村公路、廉租房、棚户区改造等,CONC
CONC123,建设项目质量、投资效益,CONC
CONC124,地带性森林群落,CONC
CONC125,社会力量,CONC
CONC126,政府购买服务信息,CONC
CONC127,我国生态建设,CONC
CONC128,防护功能,CONC
CONC129,能力建设,CONC
CONC130,国家林业科研基地,CONC
CONC131,采伐管理服务水平,CONC
CONC132,生态建设和林业发展,CONC
CONC133,林木种苗质量,CONC
CONC134,2014年春季,CONC
CONC135,沙尘强度,CONC
CONC136,强沙尘暴过程,CONC
CONC137,灾害信息,CONC
CONC138,地面监测站和信息员上报的信息,CONC
CONC139,沙尘天气和灾害情况,CONC
CONC140,沙尘暴灾害评估技术体系,CONC
CONC141,生态承载能力,CONC
CONC142,荒漠生态,CONC
CONC143,土地使用经营权属,CONC
CONC144,野生植物资源状况,CONC
CONC145,造林合格标准,CONC
CONC146,造林保存标准,CONC
CONC147,森林管护责任制,CONC
CONC148,森林管护体系,CONC
CONC149,森林管护人员业务素质,CONC
CONC150,全社会,CONC
CONC151,保护意识,CONC
CONC152,标准,CONC
CONC153,质量,CONC
CONC154,国家重点林木良种基地,CONC
CONC155,林木种子和苗木质量,CONC
CONC156,生态建设,CONC
CONC157,科学发展,CONC
CONC158,林业发展方式,CONC
CONC159,产权,CONC
CONC160,决策,CONC
CONC161,科技支撑平台,CONC
CONC162,科学发展观,CONC
CONC163,全国林业信息化发展,CONC
CONC164,信息化,CONC
CONC165,林业信息化重大问题,CONC
CONC166,沙产业,CONC
CONC167,森林认证工作,CONC
CONC168,森林认证,CONC
CONC169,现代林业,CONC
CONC170,林业国际化进程,CONC
CONC171,森林认证体系,CONC
CONC172,现代林业发展,CONC
CONC173,森林抚育经营,CONC
CONC174,现代林业建设,CONC
CONC175,森林质量提升,CONC
CONC176,森林资源培育,CONC
CONC177,林业发展,CONC
CONC178,“十二五”林业工作,CONC
CONC179,森林资源自我保护能力,CONC
CONC180,项目,CONC
CONC181,生态环境效益目标,CONC
CONC182,监测防控形势,CONC
CONC183,协调会商机制,CONC
CONC184,森林高火险期,CONC
CONC185,法律责任,CONC
CONC186,森林保护与利用,CONC
CONC187,市场经济,CONC
CONC188,组织保障,CONC
CONC189,林木种子生产者、经营者,CONC
CONC190,历史罕见强降雪和低温凝冻天气过程,CONC
CONC191,遗传资源,CONC
CONC192,地质灾害隐患点,CONC
CONC193,预警信息,CONC
CONC194,森林资源数量增长、质量提高、结构优化,CONC
CONC195,森林资源消耗管理,CONC
CONC196,森林采伐分类管理,CONC
CONC197,森林功能分区,CONC
CONC198,被许可人,CONC
CONC199,科技示范效应,CONC
CONC200,虎、豹保护,CONC
CONC201,统一的标准规范,CONC
CONC202,政务信息,CONC
CONC203,电子政务,CONC
CONC204,社会进步,CONC
CONC205,信息化建设,CONC
CONC206,国家信息化与电子政务建设,CONC
CONC207,经济社会发展,CONC
CONC208,盗伐滥伐林木案件,CONC
CONC209,指导思想,CONC
CONC210,林权改革工作的客观反映,CONC
CONC211,农村林地承包关系,CONC
CONC212,档案的形成质量,CONC
CONC213,巩固成果，确保质量，完善政策，稳步推进,CONC
CONC214,国家生态安全,CONC
CONC215,责任和权益,CONC
CONC216,工程建设重大信息,CONC
CONC217,沙尘暴天气,CONC
CONC218,大气环境质量状况,CONC
CONC219,新农村建设,CONC
CONC220,区域特色,CONC
CONC221,造林绿化质量,CONC
CONC222,三禁,CONC
CONC223,责任制,CONC
CONC224,依法治林观念,CONC
CONC225,林业建设事业发展,CONC
CONC226,邓小平理论,CONC
CONC227,社会主义和谐社会,CONC
CONC228,国家生态建设,CONC
CONC229,管理体制,CONC
CONC230,自然保护,CONC
CONC231,法律意识和素质,CONC
CONC232,法律素质,CONC
CONC233,依法行政的能力和水平,CONC
CONC234,管理制度,CONC
CONC235,检查方法,CONC
CONC236,技术标准,CONC
CONC237,检查结果,CONC
CONC238,费用,CONC
CONC239,创收业务项目,CONC
CONC240,示范自然保护区,CONC
CONC241,国民经济和社会发展,CONC
CONC242,林业发展的质量和效益,CONC
CONC243,林业生产实践中,CONC
CONC244,财政,CONC
CONC245,林业工作的基础,CONC
CONC246,绿色家园,CONC
CONC247,林业产业化服务体系,CONC
CONC248,“三个代表”重要思想,CONC
CONC249,“五个结合”,CONC
CONC250,森林经营模式,CONC
CONC251,自然保护区主要保护对象,CONC
CONC252,森林经理期,CONC
CONC253,森林可持续经营理论,CONC
CONC254,森林可持续经营评价,CONC
CONC255,森林资源发展目标,CONC
CONC256,油茶产业,CONC
CONC257,生产力水平,CONC
CONC258,油茶产业链,CONC
CONC259,农民组织化程度,CONC
CONC260,科技,CONC
CONC261,造林绿化项目,CONC
CONC262,抗旱意识,CONC
CONC263,社会主义新农村,CONC
CONC264,工程建设成果,CONC
CONC265,产权界定,CONC
CONC266,林木所有权,CONC
CONC267,技术规定,CONC
CONC268,货主,CONC
CONC269,森林、林木、林地的所有者和使用者,CONC
CONC270,林业工作总体部署,CONC
CONC271,六大工程,CONC
CONC272,森林生态效益市场化,CONC
CONC273,合作渠道,CONC
CONC274,森林论坛、非法采伐、森林认证和林业碳汇,CONC
CONC275,林业有害生物防治工作机制,CONC
CONC276,自然保护区网络体系,CONC
CONC277,行政许可工作管理规章制度,CONC
CONC278,工程结算,CONC
CONC279,竣工财务决算,CONC
CONC280,竣工验收意见,CONC
CONC281,资金管理机制,CONC
CONC282,重大经济事项,CONC
CONC283,和谐社会,CONC
CONC284,森林资源管理体制,CONC
CONC285,林业行政执法体系,CONC
CONC286,质量管理责任制,CONC
CONC287,党风廉政建设,CONC
CONC288,营造林质量,CONC
CONC289,获奖人数,CONC
CONC290,生态系统类型,CONC
CONC291,自然保护区体系,CONC
CONC292,木材有效供给,CONC
CONC293,经济社会可持续发展,CONC
CONC294,资源战略问题,CONC
CONC295,税费负担,CONC
CONC296,野生动植物进出口管理和履约工作的基层单位,CONC
CONC297,全国性的人工繁殖场和培植场管理信息平台,CONC
CONC298,企业服务,CONC
CONC299,野生动植物进出口和履约工作政务信息管理系统,CONC
CONC300,野生动植物鉴定服务体系,CONC
CONC301,更新采伐年龄,CONC
CONC302,更新采伐限额,CONC
CONC303,工程,CONC
CONC304,区域生态、经济、社会,CONC
CONC305,全面建设小康社会,CONC
CONC306,三农问题,CONC
CONC307,区域经济社会可持续发展,CONC
CONC308,林农牧业生产力布局,CONC
CONC309,农村剩余劳动力,CONC
CONC310,生产经营新机制,CONC
CONC311,政策措施,CONC
CONC312,国土生态安全的绿色屏障,CONC
CONC313,林业产业发展新格局,CONC
CONC314,林业科技重奖,CONC
CONC315,重奖对象,CONC
CONC316,重奖,CONC
CONC317,重奖候选对象,CONC
CONC318,林木种苗发展,CONC
CONC319,林业建设,CONC
CONC320,林木种子供应体系,CONC
CONC321,森林生态效益补偿基金,CONC
CONC322,检查内容,CONC
CONC323,环境保护,CONC
CONC324,项目效益,CONC
CONC325,森林生态和社会服务产品,CONC
CONC326,林权权利人,CONC
CONC327,疫木安全利用条件,CONC
CONC328,疫木管理制度,CONC
CONC329,行政许可权,CONC
CONC330,林业法制建设,CONC
CONC331,林业法律体系,CONC
CONC332,林业行政执法监督机制,CONC
CONC333,林业分类经营,CONC
CONC334,引种单位（或个人）,CONC
CONC335,林木种子广告,CONC
CONC336,森林资源管理机构负责人,CONC
CONC337,森林资源林政管理机构负责人,CONC
CONC338,审核意见,CONC
CONC339,干部管理权限,CONC
CONC340,森林资源林政管理机构主要负责人,CONC
CONC341,新形势下林业发展的新要求,CONC
CONC342,处置原则,CONC
CONC343,非典,CONC
CONC344,驯养繁殖资格,CONC
CONC345,野生动物驯养繁殖业,CONC
CONC346,林木种苗质量检验机构资格,CONC
CONC347,工程项目法人责任制,CONC
CONC348,工程建设进展调度数据,CONC
CONC349,数量、质量、管理情况,CONC
CONC350,数量指标,CONC
CONC351,全国林木种子、苗木质量,CONC
CONC352,林业建设史上一个新的里程碑,CONC
CONC353,全行业,CONC
CONC354,林木良种有效期限,CONC
CONC355,林木良种资格,CONC
CONC356,三个代表重要思想,CONC
CONC357,全国鸟类环志信息,CONC
CONC358,鸟类环志记录及回收信息,CONC
CONC359,农村产业结构,CONC
CONC360,林业行政处罚案件,CONC
CONC361,法律术语,CONC
CONC362,任期经济责任,CONC
CONC363,直接责任,CONC
CONC364,主管责任,CONC
CONC365,审计对象,CONC
CONC366,招标人,CONC
CONC367,招标委托人,CONC
CONC368,考核得分,CONC
CONC369,查处率,CONC
CONC370,奖励分,CONC
CONC371,地方特色的主导产品,CONC
CONC372,经营管理制度,CONC
CONC373,产品市场占有率,CONC
CONC374,示范基地称号,CONC
CONC375,命名称号,CONC
CONC376,林木有害生物,CONC
CONC377,检疫性有害生物,CONC
CONC378,品种权,CONC
CONC379,申请权,CONC
CONC380,国有森林资源资产,CONC
CONC381,安全生产工作,CONC
CONC382,安全生产,CONC
CONC383,安全生产预警信息,CONC
CONC384,国家应对气候变化工作,CONC
CONC385,气候变化,CONC
CONC386,低碳机关,CONC
CONC387,森林、湿地、野生动物及其生物多样性,CONC
CONC388,滥食野生动物,CONC
CONC389,生态文明新风尚,CONC
CONC390,保护管理与合理利用的保障机制,CONC
CONC391,科技信息化,CONC
CONC392,自然生态系统,CONC
CONC393,国家、民族文明进步,CONC
CONC394,保护意识和责任意识,CONC
CONC395,国家层面,CONC
CONC396,人民群众,CONC
CONC397,安全生产隐患,CONC
CONC398,企业安全生产主体责任,CONC
CONC399,灾害警示信息,CONC
CONC400,规范化和法制化轨道,CONC
CONC401,科学性和可操作性,CONC
CONC402,森林认证模式,CONC
CONC403,新时代要求,CONC
CONC404,林木转基因工程活动,CONC
CONC405,科学技术,CONC
