ID,name,LABEL
DOC001,中华人民共和国植物新品种保护名录（林草部分）（第九批）,DOC
DOC002,植物新品种权证书,DOC
DOC003,退耕还林还草提质增效实施方案编制大纲,DOC
DOC004,《湿地公约》,DOC
DOC005,国际重要湿地名录,DOC
DOC006,公告,DOC
DOC007,《棕榈科植物害虫检疫技术通则》等41项林业行业标准,DOC
DOC008,陆生野生动物重要栖息地名录,DOC
DOC009,国家储备林建设管理办法（试行）,DOC
DOC010,全国国家储备林建设规划和实施方案,DOC
DOC011,国家储备林项目建设方案,DOC
DOC012,森林抚育相关规程,DOC
DOC013,中华人民共和国野生动物保护法,DOC
DOC014,《国家储备林建设管理办法（试行）》,DOC
DOC015,《中华人民共和国森林法》,DOC
DOC016,国家储备林建设规划或实施方案,DOC
DOC017,2023年第一批授予植物新品种权名单,DOC
DOC018,有重要生态、科学、社会价值的陆生野生动物名录,DOC
DOC019,自然资发〔2022〕191号,DOC
DOC020,自然资发〔2023〕176号,DOC
DOC021,国家储备林建设项目,DOC
DOC022,林长制,DOC
DOC023,2023年第22号,DOC
DOC024,《中华人民共和国种子法》,DOC
DOC025,关于加快推进全国一体化在线政务服务平台建设的指导意见,DOC
DOC026,关于加快推进电子证照扩大应用领域和全国互通互认的意见,DOC
DOC027,《林草种子生产经营许可证》,DOC
DOC028,中华人民共和国自然保护区条例,DOC
DOC029,森林和野生动物类型自然保护区管理办法,DOC
DOC030,自然保护区条例,DOC
DOC031,林资发〔2015〕153号和林资发〔2016〕62号文,DOC
DOC032,放管服,DOC
DOC033,2023年第11号,DOC
DOC034,“濒危野生动植物允许进出口证明书核发”,DOC
DOC035,中国国际贸易‘单一窗口’标准版野生动植物进出口证书管理系统,DOC
DOC036,行政许可批准文件,DOC
DOC037,《林业和草原主管部门管理的濒危野生动植物或其制（产）品进出口审批及允许进出口证明书核发办事指南》,DOC
DOC038,《国家公园志愿服务管理办法》,DOC
DOC039,通知,DOC
DOC040,指导意见,DOC
DOC041,法律、行政法规、部门规章,DOC
DOC042,林草行业证明事项清单,DOC
DOC043,林草行业行政许可事项实施规范,DOC
DOC044,行政许可事项清单管理,DOC
DOC045,国家林业和草原局公告（2023年第11号）,DOC
DOC046,文件规定,DOC
DOC047,《森林法》,DOC
DOC048,《植物新品种权证书》,DOC
DOC049,三年行动方案,DOC
DOC050,国土空间规划,DOC
DOC051,2022年第6号,DOC
DOC052,植物检疫条例,DOC
DOC053,全国检疫性林业有害生物疫区管理办法,DOC
DOC054,林改发,DOC
DOC055,全国防沙治沙规划（2021－2030年）,DOC
DOC056,《全国沙产业发展指南》,DOC
DOC057,2022年第4号,DOC
DOC058,2022年第5号,DOC
DOC059,《植物检疫条例》,DOC
DOC060,《全国检疫性林业有害生物疫区管理办法》,DOC
DOC061,《中华人民共和国野生植物保护条例》,DOC
DOC062,《中华人民共和国湿地保护法》,DOC
DOC063,《全国湿地保护规划（2022—2030年）》,DOC
DOC064,《国家公园管理暂行办法》,DOC
DOC065,管理办法,DOC
DOC066,2021年度国家级林木良种名录,DOC
DOC067,《国土绿化项目作业设计管理规定（试行）》,DOC
DOC068,2022年度林木良种名录,DOC
DOC069,《重要湿地修复方案编制指南》,DOC
DOC070,病死陆生野生动物无害化处理管理办法,DOC
DOC071,中华人民共和国生物安全法,DOC
