ID,name,LABEL
OBJ001,受托机关名称、地址、联系方式,OBJ
OBJ002,混交林,OBJ
OBJ003,林木,OBJ
OBJ004,林草资源,OBJ
OBJ005,林草生态系统,OBJ
OBJ006,退耕地块,OBJ
OBJ007,‘京科1号’羊草,OBJ
OBJ008,兰溪木荷一代无性系种子园种子,OBJ
OBJ009,‘青牧2号’老芒麦,OBJ
OBJ010,6个草品种,OBJ
OBJ011,电子邮箱,OBJ
OBJ012,gjgysjx@163.com,OBJ
OBJ013,通信地址,OBJ
OBJ014,附件,OBJ
OBJ015,玫玛苏拉,OBJ
OBJ016,油茶,OBJ
OBJ017,低产林,OBJ
OBJ018,耕地,OBJ
OBJ019,低效茶园,OBJ
OBJ020,橡胶,OBJ
OBJ021,《采集证》,OBJ
OBJ022,《国家重点保护野生植物采集申请表》,OBJ
OBJ023,培育基地项目立项文件或者背景情况说明,OBJ
OBJ024,科研或者交流项目立项文件或者相关背景资料,OBJ
OBJ025,工程立项文件及工程实施相关背景资料,OBJ
OBJ026,国家重点保护野生树木,OBJ
OBJ027,林木采伐许可证,OBJ
OBJ028,生态站,OBJ
OBJ029,‘森海2号’杨树,OBJ
OBJ030,‘中林6号’楸树,OBJ
OBJ031,‘豫林2号’香椿,OBJ
OBJ032,人工商品林,OBJ
OBJ033,美国白蛾,OBJ
OBJ034,草种,OBJ
OBJ035,兰箭1号,OBJ
OBJ036,春箭筈豌豆,OBJ
OBJ037,淮扬4号,OBJ
OBJ038,彰武松,OBJ
OBJ039,永久基本农田,OBJ
OBJ040,林地,OBJ
OBJ041,一般耕地,OBJ
OBJ042,农产品,OBJ
OBJ043,永久基本农田储备区,OBJ
OBJ044,补充耕地项目,OBJ
OBJ045,苍术,OBJ
OBJ046,设施,OBJ
OBJ047,严重退化、沙化、盐碱化、石漠化的草原,OBJ
OBJ048,象牙及其制品,OBJ
OBJ049,非洲象牙雕刻品,OBJ
OBJ050,狩猎纪念物象牙,OBJ
OBJ051,象牙文物,OBJ
OBJ052,相关树种,OBJ
OBJ053,产业基地,OBJ
OBJ054,监测网络,OBJ
OBJ055,辛提拉（Scintilla）,OBJ
OBJ056,森林生态环境,OBJ
OBJ057,森林康养环境,OBJ
OBJ058,森林康养基地,OBJ
