ID,name,LABEL
PER001,雷从从,PER
PER002,原住居民,PER
PER003,森林康养专业人才,PER
PER004,高尚仁、冯建民,PER
PER005,国家林业和草原局领导,PER
PER006,李芳东,PER
PER007,王玉柱,PER
PER008,王贵禧,PER
PER009,裴东,PER
PER010,曹尚银,PER
PER011,李新岗,PER
PER012,徐怀德,PER
PER013,刘孟军,PER
PER014,张玉星,PER
PER015,斯金平,PER
PER016,张东亚,PER
PER017,王新勇,PER
PER018,刘士河,PER
PER019,张国珍,PER
PER020,王燕萍,PER
PER021,李明,PER
PER022,章名帅,PER
PER023,赵晓平,PER
PER024,农民,PER
PER025,农户,PER
PER026,林业职业经理人,PER
PER027,林业经营管理人才,PER
PER028,张建龙,PER
PER029,彭有冬,PER
PER030,祁宏,PER
PER031,王祝雄,PER
PER032,徐济德,PER
PER033,贾建生,PER
PER034,刘拓,PER
PER035,闫振,PER
PER036,胡章翠,PER
PER037,杨超,PER
PER038,刘红,PER
PER039,王满,PER
PER040,石峰,PER
PER041,费本华,PER
PER042,宋慧刚,PER
PER043,段爱国,PER
PER044,杨伟民,PER
PER045,韩俊,PER
PER046,黄守宏,PER
PER047,陈宜瑜,PER
PER048,刘旭,PER
PER049,傅伯杰,PER
PER050,曹福亮,PER
PER051,杨志峰,PER
PER052,康绍忠,PER
PER053,南志标,PER
PER054,突发林业有害生物事件应急处置救灾人员,PER
PER055,林业行政执法人员,PER
PER056,勘验检查人员、记录人员、当事人,PER
PER057,证据持有人,PER
PER058,当事人,PER
PER059,听证主持人、书记员,PER
PER060,违法行为人,PER
PER061,党员干部职工,PER
PER062,党员干部,PER
PER063,办证人员,PER
PER064,本省各市县系统使用人员,PER
PER065,技术人员,PER
PER066,沙尘暴信息员,PER
PER067,沙尘暴灾害评估专家队伍,PER
PER068,专职监测员,PER
PER069,核查人员,PER
PER070,森林管护人员,PER
PER071,责任人及负责领导,PER
PER072,保护志愿者,PER
PER073,林木种苗生产技术人员,PER
PER074,贾治邦局长,PER
PER075,干部职工,PER
PER076,有关领导和人员,PER
PER077,邓小平,PER
PER078,档案管理人员,PER
PER079,国家机关工作人员,PER
PER080,从事增加年度征占用林地定额相关工作的人员,PER
PER081,种子生产基地的经营者,PER
PER082,国家林业局分管负责人,PER
PER083,中央领导同志,PER
PER084,检疫人员,PER
PER085,林业植物检疫人员,PER
PER086,胡锦涛总书记,PER
PER087,基层干部群众,PER
PER088,温家宝总理,PER
PER089,退耕农民,PER
PER090,退耕农户,PER
PER091,主任,PER
PER092,司局、单位主要负责人,PER
PER093,主管局领导,PER
PER094,专业人才,PER
PER095,局党组副书记、副局长李育材同志,PER
PER096,检查人员,PER
PER097,生产经营者,PER
PER098,油茶种植大户,PER
PER099,胡锦涛总书记、温家宝总理、回良玉副总理,PER
PER100,单位法人,PER
PER101,各司局负责人,PER
PER102,领导干部,PER
PER103,单位领导班子,PER
PER104,速丰林经营者,PER
PER105,行政许可事项审查人员,PER
PER106,单位一把手,PER
PER107,郑欣民,PER
PER108,赵 践,PER
PER109,祝列克,PER
PER110,王维正,PER
PER111,李亚莉,PER
PER112,李育材,PER
PER113,焦德发,PER
PER114,张广平,PER
PER115,考核组成员,PER
PER116,周生贤局长,PER
PER117,孙士勇,PER
PER118,张建国,PER
PER119,胡锦涛同志,PER
PER120,听证主持人,PER
PER121,审计人员,PER
PER122,我国专家,PER
PER123,温家宝副总理,PER
PER124,杜艳玲,PER
PER125,尚文博,PER
