ID,name,LABEL
STATE001,2023年1月11日,STATE
STATE002,2022年12月27日,STATE
STATE003,危害等级,STATE
STATE004,一级危害性,STATE
STATE005,二级危害性,STATE
STATE006,三级危害性,STATE
STATE007,四级危害性,STATE
STATE008,禁止开发区域,STATE
STATE009,林业生产条件,STATE
STATE010,两年,STATE
STATE011,精准脱贫,STATE
STATE012,有效,STATE
STATE013,成果所属单位或者个人（组织机构/人名）、尾实体：真实性,STATE
STATE014,完成情况,STATE
STATE015,立地条件差、风蚀沙埋严重,STATE
STATE016,生命财产安全,STATE
STATE017,灾情进展,STATE
STATE018,规划实施情况,STATE
STATE019,持续健康发展,STATE
STATE020,下滑,STATE
STATE021,成熟期、过熟期,STATE
STATE022,下降,STATE
STATE023,重度退化,STATE
STATE024,中度退化,STATE
STATE025,轻度退化,STATE
STATE026,转为示范单位、继续试点和撤销试点,STATE
STATE027,迁飞安全,STATE
STATE028,按时完成,STATE
STATE029,不到位,STATE
STATE030,野鸟、家禽高致病性禽流感病例和疫情,STATE
STATE031,野生动物异常情况,STATE
STATE032,初步成效,STATE
STATE033,二十周年,STATE
STATE034,主干劈裂,STATE
STATE035,严重雨雪冰冻灾害,STATE
STATE036,质量效益型,STATE
STATE037,生产经营秩序,STATE
STATE038,巩固和发展,STATE
STATE039,健康推进,STATE
STATE040,经营周期短,STATE
STATE041,一般督办,STATE
STATE042,有序开展,STATE
STATE043,森林防火警戒期,STATE
STATE044,天气干燥,STATE
STATE045,美国白蛾发生面积,STATE
STATE046,第一代发育,STATE
STATE047,森林健康,STATE
STATE048,造林质量,STATE
STATE049,生产经营动态情况,STATE
STATE050,有效保护,STATE
STATE051,年检合格的,STATE
STATE052,年检不合格,STATE
STATE053,非典型肺炎病人或疑似人员,STATE
STATE054,疑似症状人员,STATE
STATE055,非典疑似病人,STATE
STATE056,疑似病人症状的人员,STATE
STATE057,无效,STATE
STATE058,公开、公正、平等、自愿、有偿,STATE
STATE059,科学合理,STATE
STATE060,经济效益,STATE
STATE061,废止,STATE
STATE062,隐患整改情况,STATE
