from,to,relation
ORG001,DOC001,publish
ORG001,DOC002,publish
ORG002,ACT001,relevant
ORG003,DOC003,contain
ORG001,ACT001,publish
DOC004,ORG004,publish
LOC001,LOC002,isLocate
LOC003,DOC005,contain
LOC001,CLS001,relevant
ORG001,DOC006,publish
ORG001,DOC007,publish
ORG001,ORG005,relevant
ORG001,ACT002,hasRight
ORG005,LOC004,relevant
ORG001,ACT003,hasRight
ORG001,OBJ001,contain
ORG001,ACT004,hasRight
ORG001,CONC001,relevant
ORG001,DOC008,publish
ORG001,DOC009,publish
ACT005,CONC002,relevant
ACT005,ACT006,contain
ORG001,ACT005,hasRight
ORG006,ACT007,workFor
ACT005,DOC010,isPublished
ORG006,DOC011,publish
ACT005,CONC003,relevant
ACT005,LOC005,contain
ACT005,OBJ002,relevant
ACT008,ACT009,contain
ACT010,DOC012,relevant
ORG007,ACT011,relevant
ACT012,ACT013,relevant
ORG006,CONC004,hasRight
ORG006,OBJ003,hasRight
ORG001,DOC008,publish
ORG001,DOC014,publish
ACT005,DOC015,relevant
ACT005,ACT006,contain
ORG001,ACT005,relevant
ORG006,ACT007,relevant
ORG007,DOC016,relevant
ORG006,DOC011,relevant
ORG007,ACT011,relevant
ORG006,OBJ003,relevant
ORG001,CLS002,publish
ORG001,DOC018,publish
ACT014,CLS003,relevant
ORG001,ACT015,duty
ORG008,ORG009,belongTo
ORG010,ORG011,relevant
ORG012,DOC019,publish
DOC020,ACT016,relevant
OBJ004,CLS004,contain
OBJ005,CONC005,contain
CONC006,ACT017,relevant
ORG003,ACT018,hasRight
LOC006,LOC007,isLocate
DOC021,OBJ006,contain
DOC022,ORG013,hasRight
ACT019,ORG014,relevant
ORG001,CLS002,relevant
ORG001,DOC002,publish
ORG001,CLS005,publish
ORG001,DOC023,publish
DOC024,EXP_DEF001,relevant
ORG015,OBJ007,publish
CLS006,CONC007,classifyTo
ORG001,ACT020,publish
ORG001,CLS007,publish
ORG016,OBJ008,publish
CLS007,DOC006,isPublished
ORG001,DOC006,publish
ORG017,DOC025,publish
ORG018,DOC026,publish
ORG019,DOC027,publish
ORG001,ORG003,relevant
DOC028,DOC029,cite
LOC008,LOC009,classifyTo
LOC008,DOC030,isPublished
LOC008,ORG020,duty
LOC008,LOC008,prohibition
LOC008,LOC008,duty
LOC008,LOC008,duty
LOC008,LOC008,relevant
LOC008,LOC008,isPublished
ORG001,DOC031,publish
ORG001,DOC032,publish
LOC010,ACT021,prohibition
ORG005,ACT021,hasRight
ORG001,ACT022,hasRight
ORG001,ACT023,hasRight
ORG001,ORG005,relevant
ORG001,DOC033,publish
ORG001,ACT024,relevant
ORG001,ORG021,publish
ORG022,DOC034,publish
ORG007,CLS008,contain
ORG023,CLS009,contain
DOC035,ORG007,relevant
ORG024,DOC036,hasRight
ORG025,ORG024,relevant
ORG026,DOC037,cite
ORG001,ORG022,hasRight
ORG001,ORG027,belongTo
OBJ009,OBJ010,contain
DOC006,CLS010,publish
ORG001,DOC038,publish
CONC008,CONC009,hasRight
OBJ011,OBJ012,contain
OBJ013,LOC011,isLocate
ACT025,STATE001,relevant
OBJ014,DOC038,contain
ORG001,STATE002,publish
ORG001,DOC043,publish
ORG018,DOC044,publish
ORG001,ORG018,belongTo
ORG001,DOC045,publish
ORG001,DOC006,publish
ORG011,DOC046,publish
ACT026,ACT027,relevant
CONC010,DOC047,duty
ORG001,ORG028,relevant
ORG028,ORG029,relevant
ORG001,DOC006,publish
ORG001,CLS002,hasRight
OBJ015,CLS011,contain
CLS002,DOC048,relevant
ORG008,ORG001,publish
ORG030,ORG017,publish
OBJ016,CONC011,relevant
OBJ016,OBJ017,relevant
LOC012,OBJ016,relevant
OBJ018,OBJ016,prohibition
OBJ019,OBJ016,contain
OBJ016,OBJ020,relevant
OBJ016,CONC012,relevant
LOC012,OBJ016,relevant
OBJ016,DOC049,relevant
ACT028,CLS012,relevant
ACT029,DOC050,contain
ORG001,DOC051,publish
DOC052,DOC053,cite
LOC013,LOC014,contain
LOC015,LOC016,contain
LOC017,LOC018,contain
LOC019,LOC020,contain
LOC021,LOC022,contain
LOC023,LOC024,contain
LOC025,LOC026,contain
LOC027,LOC028,contain
ORG001,ORG031,publish
OBJ016,CONC013,relevant
DOC049,CLS012,contain
ORG001,ORG011,publish
ORG001,DOC055,publish
ORG032,ORG033,relevant
ORG010,ORG011,belongTo
ORG001,DOC056,publish
ORG005,ORG001,belongTo
ORG001,DOC057,publish
DOC052,DOC053,cite
LOC013,LOC029,contain
LOC017,LOC030,contain
LOC025,LOC031,contain
LOC032,LOC033,contain
LOC034,LOC035,contain
LOC036,LOC037,contain
LOC038,LOC039,contain
LOC040,LOC041,contain
LOC042,LOC043,contain
LOC044,LOC045,contain
LOC046,LOC047,contain
ORG001,DOC058,publish
DOC059,DOC060,cite
LOC048,LOC049,contain
LOC050,LOC051,contain
LOC052,LOC053,contain
ORG001,CONC014,relevant
ORG001,ACT030,hasRight
DOC061,CLS013,relevant
OBJ021,EXP_DEF002,relevant
ACT031,OBJ022,contain
ACT032,OBJ023,contain
ACT033,OBJ024,contain
ACT034,OBJ025,contain
CONC015,ACT035,contain
CLS014,ACT036,prohibition
OBJ021,CLS015,relevant
ORG034,LOC054,isLocate
OBJ026,OBJ027,relevant
ORG001,ORG008,publish
DOC062,ACT037,relevant
ORG001,ORG008,publish
DOC063,OBJ014,contain
ORG001,ORG008,relevant
ORG001,DOC064,publish
ORG005,ORG001,belongTo
ORG001,ACT038,relevant
LOC055,DOC065,relevant
ORG008,ORG001,relevant
ORG008,ORG009,relevant
ORG008,ORG009,relevant
ORG008,ORG009,relevant
ORG008,ORG009,relevant
ORG001,LOC056,isLocate
ORG001,LOC057,isLocate
ORG001,LOC058,isLocate
ORG001,LOC059,isLocate
OBJ028,CONC016,contain
OBJ028,ACT039,contain
OBJ028,ACT040,contain
ORG035,OBJ028,hasRight
ORG001,CLS007,publish
ORG036,OBJ029,publish
DOC066,EXP_DEF003,relevant
ORG001,ACT041,relevant
ORG001,DOC006,publish
ORG001,DOC067,publish
ORG005,ORG037,relevant
DOC068,EXP_DEF003,relevant
ORG001,ORG008,publish
DOC062,EXP_DEF004,relevant
ORG001,DOC069,publish
LOC060,CONC017,belongTo
ORG001,ORG012,publish
ACT042,EXP_DEF005,relevant
DOC070,CLS019,contain
DOC070,DOC071,cite
PER001,ORG001,workFor
ORG001,ORG039,publish
DOC072,DOC073,cite
ORG040,ORG041,belongTo
ORG042,ORG017,publish
ORG043,ORG018,publish
ORG043,ORG018,publish
DOC074,DOC050,contain
LOC008,LOC061,isLocate
PER002,CLS020,relevant
OBJ032,ACT043,hasRight
CLS021,DOC075,hasRight
ORG030,ORG017,publish
ORG044,CLS022,hasRight
DOC076,CLS023,contain
ORG010,CLS021,hasRight
ORG008,ORG045,relevant
ORG001,DOC052,publish
ORG001,DOC053,publish
LOC050,LOC073,isLocate
